iter	RMSE
0	8.494883534
1	7.228756186
2	6.23028112
3	5.456639678
4	4.880287386
5	4.446641466
6	4.129444631
7	3.877491861
8	3.695346694
9	3.548650101
10	3.446483233
11	3.365921129
12	3.308867669
13	3.246937419
14	3.206076362
15	3.170590241
16	3.126608145
17	3.084979385
18	3.046670836
19	3.013717581
20	2.987892458
21	2.97181279
22	2.934607454
23	2.908024062
24	2.881594097
25	2.865750155
26	2.843195682
27	2.824555761
28	2.802530597
29	2.789880426
30	2.772941452
31	2.755466223
32	2.745270174
33	2.733079991
34	2.718350737
35	2.70739609
36	2.693489297
37	2.681392395
38	2.669929806
39	2.658717114
40	2.646969244
41	2.637678352
42	2.62081763
43	2.608116239
44	2.595313142
45	2.584377482
46	2.569403476
47	2.559746105
48	2.551949679
49	2.540781537
50	2.529165091
51	2.516657866
52	2.513245349
53	2.508585696
54	2.501132537
55	2.495938303
56	2.488287779
57	2.476467481
58	2.470555293
59	2.463763626
60	2.452347956
61	2.441329298
62	2.432647123
63	2.425050319
64	2.416114792
65	2.412582341
66	2.399126605
67	2.395141253
68	2.383380069
69	2.376209722
70	2.359720213
71	2.350770169
72	2.342846334
73	2.337177498
74	2.329054236
75	2.322849505
76	2.315234957
77	2.307624356
78	2.302202492
79	2.295413181
80	2.292015438
81	2.283956265
82	2.277363682
83	2.27202479
84	2.265148896
85	2.260650483
86	2.255800011
87	2.251473008
88	2.24500033
89	2.239055734
90	2.235862379
91	2.225183336
92	2.221230707
93	2.213741024
94	2.20919263
95	2.204460947
96	2.192243815
97	2.185537779
98	2.179770921
99	2.175860924
100	2.170280821
101	2.163219985
102	2.158330496
103	2.15517446
104	2.148299571
105	2.138113874
106	2.135177778
107	2.130651728
108	2.126181225
109	2.122330097
110	2.119052793
111	2.113044825
112	2.107468673
113	2.104992982
114	2.101240348
115	2.095330752
116	2.091590279
117	2.08851555
118	2.083635771
119	2.079695285
120	2.07689382
121	2.070114395
122	2.068190567
123	2.062673774
124	2.059388379
125	2.054620702
126	2.049661299
127	2.047584069
128	2.044723158
129	2.038272242
130	2.034649326
131	2.032241999
132	2.029544988
133	2.025056538
134	2.020949366
135	2.018004256
136	2.012904587
137	2.008057601
138	2.005236425
139	1.993890834
140	1.990002846
141	1.98590957
142	1.983377864
143	1.978799762
144	1.974873033
145	1.968833878
146	1.96766829
147	1.96563175
148	1.962206239
149	1.958922583
150	1.95441546
151	1.95006585
152	1.946277988
153	1.941716672
154	1.940636299
155	1.939792074
156	1.934763722
157	1.9325076
158	1.929943071
159	1.928815935
160	1.923682126
161	1.921390134
162	1.908423904
163	1.905418372
164	1.901719925
165	1.899959249
166	1.896707662
167	1.892139581
168	1.888550347
169	1.885736538
170	1.883070182
171	1.878457945
172	1.876767127
173	1.869455493
174	1.867507311
175	1.861159286
176	1.85721319
177	1.855423468
178	1.854816262
179	1.851125462
180	1.849083387
181	1.846759934
182	1.84500375
183	1.842064615
184	1.83891286
185	1.835955737
186	1.832272138
187	1.829352195
188	1.825897625
189	1.824846687
190	1.822281767
191	1.819628302
192	1.816223546
193	1.813162232
194	1.808109743
195	1.806098168
196	1.804626822
197	1.801921419
198	1.80001475
199	1.797338535
200	1.794613846
201	1.79102359
202	1.789969941
203	1.788213545
204	1.785386796
205	1.776965576
206	1.776104555
207	1.774409194
208	1.77206945
209	1.767606251
210	1.764702319
211	1.763674296
212	1.761646356
213	1.759251523
214	1.756311356
215	1.7539421
216	1.752603663
217	1.751685261
218	1.750669263
219	1.749586639
220	1.747844464
221	1.74615891
222	1.743063495
223	1.742305196
224	1.739235186
225	1.736071123
226	1.734008416
227	1.731484656
228	1.727418622
229	1.724277364
230	1.721069433
231	1.718147663
232	1.716271541
233	1.714722831
234	1.713317569
235	1.710172339
236	1.707949116
237	1.706474667
238	1.704272199
239	1.701350558
240	1.698811387
241	1.692101668
242	1.688786183
243	1.686916267
244	1.684352576
245	1.683299189
246	1.68074076
247	1.679247294
248	1.677265174
249	1.674287459
250	1.671469441
251	1.669603969
252	1.666832755
253	1.66555063
254	1.664637208
255	1.660052525
256	1.657045785
257	1.65374482
258	1.652859047
259	1.650870351
260	1.648311922
261	1.647598003
262	1.647141071
263	1.644871714
264	1.642182708
265	1.639921064
266	1.638395329
267	1.636616559
268	1.634830188
269	1.634615148
270	1.632316491
271	1.63156084
272	1.63040583
273	1.629378439
274	1.627591788
275	1.625671062
276	1.625019417
277	1.623460667
278	1.620287055
279	1.617586787
280	1.615355118
281	1.614008357
282	1.611629523
283	1.610220025
284	1.60949533
285	1.606807446
286	1.605766545
287	1.60396651
288	1.602817204
289	1.602129362
290	1.601244849
291	1.598887717
292	1.596188057
293	1.595729864
294	1.594486411
295	1.593269644
296	1.59076987
297	1.588370532
298	1.587025303
299	1.584818705
300	1.582771364
301	1.581542747
302	1.57884561
303	1.576344515
304	1.57336229
305	1.572612062
306	1.571240767
307	1.570795474
308	1.568822279
309	1.566304973
310	1.565451
311	1.563379512
312	1.562245407
313	1.561544093
314	1.559109661
315	1.558141205
316	1.557285573
317	1.556068216
318	1.553849048
319	1.552051078
320	1.550293371
321	1.549928982
322	1.547945691
323	1.546632521
324	1.545872124
325	1.545239709
326	1.543259517
327	1.54270591
328	1.541366236
329	1.540396281
330	1.539455887
331	1.537299526
332	1.535271326
333	1.533636559
334	1.533028625
335	1.530700027
336	1.530530888
337	1.528713933
338	1.526479825
339	1.525562287
340	1.524351839
341	1.524019324
342	1.521808009
343	1.519179453
344	1.517334084
345	1.515635876
346	1.514146997
347	1.510378928
348	1.509305718
349	1.507805632
350	1.506832237
351	1.506320298
352	1.50500707
353	1.505005945
354	1.504581677
355	1.502638703
356	1.501954189
357	1.500485293
