iter	Passed	Remaining
0	96	47928
1	191	47757
2	281	46591
3	376	46722
4	465	46120
5	556	45799
6	645	45474
7	739	45509
8	829	45267
9	918	45008
10	1010	44911
11	1096	44602
12	1182	44286
13	1275	44267
14	1357	43907
15	1444	43698
16	1537	43697
17	1631	43680
18	1716	43446
19	1802	43250
20	1890	43129
21	2001	43496
22	2097	43509
23	2186	43356
24	2279	43303
25	2365	43123
26	2451	42952
27	2541	42849
28	2631	42737
29	2717	42581
30	2807	42476
31	2896	42358
32	2981	42198
33	3071	42102
34	3159	41981
35	3243	41810
36	3339	41792
37	3426	41659
38	3517	41581
39	3606	41472
40	3691	41327
41	3780	41225
42	3883	41273
43	3991	41365
44	4083	41284
45	4168	41143
46	4258	41040
47	4350	40967
48	4444	40907
49	4537	40838
50	4628	40745
51	4717	40645
52	4804	40517
53	4889	40384
54	4981	40307
55	5066	40168
56	5157	40080
57	5250	40010
58	5335	39880
59	5422	39764
60	5520	39731
61	5612	39647
62	5702	39552
63	5795	39483
64	5888	39405
65	5990	39389
66	6082	39308
67	6169	39195
68	6265	39134
69	6359	39064
70	6446	38952
71	6543	38898
72	6635	38810
73	6731	38749
74	6826	38681
75	6916	38584
76	7006	38489
77	7095	38387
78	7185	38289
79	7274	38193
80	7365	38103
81	7454	38001
82	7546	37912
83	7639	37832
84	7733	37755
85	7819	37643
86	7924	37619
87	8013	37517
88	8106	37436
89	8196	37340
90	8283	37231
91	8378	37156
92	8470	37069
93	8558	36966
94	8646	36861
95	8739	36777
96	8846	36752
97	8942	36682
98	9033	36590
99	9122	36488
100	9211	36391
101	9300	36289
102	9393	36205
103	9479	36095
104	9575	36020
105	9670	35945
106	9755	35832
107	9882	35871
108	10022	35952
109	10127	35906
110	10213	35792
111	10301	35688
112	10392	35591
113	10476	35474
114	10566	35374
115	10658	35283
116	10743	35169
117	10834	35074
118	10931	34999
119	11021	34901
120	11108	34793
121	11195	34687
122	11280	34574
123	11371	34481
124	11468	34406
125	11559	34312
126	11647	34207
127	11733	34099
128	11840	34053
129	11942	33989
130	12029	33883
131	12111	33765
132	12201	33667
133	12289	33568
134	12377	33464
135	12465	33364
136	12560	33280
137	12654	33194
138	12745	33101
139	12838	33013
140	12939	32946
141	13026	32841
142	13111	32732
143	13202	32639
144	13292	32544
145	13380	32442
146	13463	32330
147	13553	32235
148	13646	32147
149	13737	32053
150	13844	31997
151	13941	31919
152	14032	31826
153	14123	31733
154	14205	31619
155	14289	31509
156	14376	31409
157	14474	31329
158	14565	31237
159	14653	31138
160	14752	31062
161	14836	30954
162	14937	30882
163	15022	30778
164	15111	30681
165	15196	30576
166	15286	30481
167	15375	30385
168	15466	30291
169	15554	30194
170	15649	30108
171	15753	30041
172	15855	29969
173	15952	29887
174	16039	29788
175	16132	29698
176	16218	29597
177	16305	29495
178	16388	29389
179	16480	29298
180	16566	29197
181	16657	29105
182	16751	29018
183	16838	28918
184	16936	28837
185	17028	28746
186	17116	28648
187	17205	28553
188	17297	28463
189	17382	28361
190	17474	28270
191	17564	28176
192	17657	28088
193	17778	28041
194	17873	27955
195	17962	27860
196	18049	27761
197	18139	27667
198	18230	27574
199	18318	27477
200	18410	27386
201	18498	27290
202	18585	27190
203	18689	27118
204	18776	27019
205	18866	26926
206	18961	26839
207	19052	26746
208	19137	26645
209	19229	26554
210	19323	26466
211	19411	26370
212	19497	26271
213	19592	26184
214	19715	26134
215	19817	26056
216	19904	25958
217	19991	25860
218	20110	25803
219	20207	25718
220	20304	25633
221	20401	25548
222	20489	25450
223	20573	25349
224	20665	25257
225	20756	25164
226	20850	25075
227	20937	24978
228	21026	24883
229	21116	24788
230	21206	24694
231	21295	24600
232	21381	24501
233	21466	24402
234	21551	24302
235	21639	24206
236	21726	24110
237	21812	24012
238	21899	23915
239	21988	23821
240	22074	23722
241	22163	23628
242	22254	23536
243	22341	23440
244	22427	23342
245	22509	23241
246	22598	23147
247	22685	23051
248	22773	22955
249	22863	22863
250	22950	22767
251	23035	22669
252	23126	22577
253	23211	22480
254	23293	22380
255	23380	22284
256	23470	22191
257	23586	22123
258	23702	22054
259	23798	21968
260	23900	21885
261	24029	21827
262	24126	21741
263	24215	21647
264	24313	21561
265	24405	21469
266	24506	21385
267	24597	21293
268	24703	21214
269	24809	21133
270	24940	21075
271	25055	21002
272	25221	20971
273	25410	20958
274	25593	20940
275	25743	20893
276	25918	20865
277	26072	20820
278	26226	20774
279	26349	20703
280	26479	20637
281	26621	20579
282	26770	20527
283	26868	20435
284	26969	20345
285	27129	20299
286	27257	20229
287	27386	20159
288	27583	20138
289	27725	20077
290	27869	20016
291	28001	19946
292	28149	19887
293	28309	19835
294	28485	19795
295	28634	19734
296	28781	19672
297	28948	19622
298	29107	19567
299	29264	19509
300	29456	19474
301	29655	19442
302	29802	19376
303	29976	19326
304	30106	19248
305	30235	19168
306	30403	19113
307	30557	19048
308	30741	19002
309	30916	18948
310	31020	18851
311	31127	18756
312	31234	18660
313	31330	18558
314	31418	18452
315	31502	18343
316	31609	18247
317	31713	18150
318	31814	18051
319	31904	17946
320	32021	17856
321	32094	17741
322	32173	17630
323	32265	17526
324	32353	17421
325	32436	17312
326	32537	17214
327	32618	17104
328	32746	17020
329	32859	16927
330	32976	16836
331	33103	16751
332	33219	16659
333	33316	16558
334	33434	16467
335	33551	16376
336	33669	16285
337	33792	16196
338	33969	16133
339	34076	16035
340	34205	15949
341	34299	15845
342	34399	15745
343	34500	15645
344	34616	15552
345	34736	15460
346	34863	15372
347	35013	15293
348	35163	15214
349	35292	15125
350	35427	15039
351	35554	14948
352	35688	14861
353	35743	14741
354	35855	14645
355	36021	14570
356	36134	14474
357	36252	14379
358	36375	14286
359	36537	14208
360	36686	14126
361	36820	14036
362	36942	13942
363	37073	13851
364	37197	13758
365	37300	13656
366	37423	13562
367	37583	13480
368	37694	13381
369	37824	13289
370	37942	13192
371	38049	13092
372	38144	12987
373	38261	12890
374	38367	12789
375	38477	12689
376	38610	12597
377	38739	12503
378	38872	12410
379	39031	12325
380	39127	12220
381	39230	12118
382	39328	12014
383	39429	11911
384	39551	11813
385	39672	11716
386	39773	11613
387	39862	11506
388	39956	11401
389	40084	11306
390	40192	11204
391	40285	11099
392	40402	11000
393	40521	10901
394	40706	10820
395	40898	10741
396	41082	10658
397	41293	10582
398	41491	10502
399	41637	10409
400	41816	10323
401	42008	10240
402	42259	10171
403	42502	10099
404	42721	10021
405	42978	9950
406	43205	9872
407	43458	9799
408	43677	9717
409	43826	9620
410	43999	9527
411	44294	9460
412	44558	9386
413	44816	9309
414	45023	9221
415	45265	9140
416	45476	9051
417	45676	8960
418	45897	8872
419	46164	8793
420	46426	8711
421	46691	8630
422	46924	8541
423	47238	8467
424	47480	8378
425	47723	8289
426	47884	8186
427	48220	8111
428	48467	8021
429	48713	7930
430	48959	7838
431	49191	7743
432	49437	7649
433	49699	7557
434	50006	7472
435	50258	7377
436	50504	7280
437	50758	7184
438	51006	7087
439	51264	6990
440	51519	6892
441	51756	6791
442	51986	6689
443	52192	6582
444	52336	6468
445	52448	6350
446	52548	6230
447	52629	6108
448	52729	5989
449	52829	5869
450	52911	5748
451	52993	5627
452	53086	5507
453	53175	5387
454	53280	5269
455	53366	5149
456	53455	5029
457	53546	4910
458	53628	4790
459	53717	4671
460	53807	4552
461	53893	4432
462	53986	4314
463	54074	4195
464	54159	4076
465	54248	3958
466	54331	3839
467	54422	3721
468	54510	3603
469	54601	3485
470	54687	3367
471	54791	3250
472	54887	3133
473	54980	3015
474	55065	2898
475	55153	2780
476	55246	2663
477	55333	2546
478	55420	2429
479	55501	2312
480	55585	2195
481	55663	2078
482	55749	1962
483	55819	1845
484	55907	1729
485	55991	1612
486	56076	1496
487	56162	1381
488	56252	1265
489	56334	1149
490	56422	1034
491	56507	918
492	56596	803
493	56690	688
494	56796	573
495	56887	458
496	56972	343
497	57061	229
498	57142	114
499	57229	0
